name,type,phone,website,address,street,city,county,postal_code,country,booking_appointment_link,place_id
Bohemian Salon,Hairdresser,+44 161 456 1061,http://www.bohemiansalon.co.uk/,"18-20 Lower Hillgate, Stockport SK1 1JE",18-20 Lower Hillgate,Stockport,,SK1 1JE,United Kingdom of Great Britain and Northern Ireland,,ChIJq5Wnxcu0e0gRTUPG24-0unk
Cut Ahead,Hairdresser,+44 161 429 6543,,"1 Woodman St, Stockport SK1 1RX",1 Woodman St,Stockport,,SK1 1RX,United Kingdom of Great Britain and Northern Ireland,,ChIJu0eyJ3mze0gRBTnymSkJA0k
Bliss Hairdressing,Hairdresser,+44 161 432 5140,http://www.bliss-hairdressing.co.uk/,"35 School Ln, Stockport SK4 5DE",35 School Ln,Stockport,,SK4 5DE,United Kingdom of Great Britain and Northern Ireland,http://www.bliss-hairdressing.co.uk/index.php/book-online,ChIJhUwk2Jaze0gRE5dwMj-zs0E
The Colour Room Salon,Hairdresser,+44 161 476 1881,http://thecolourroom.co.uk/,"21 – 23 Great Underbank, Stockport SK1 1LF",21 – 23 Great Underbank,Stockport,,SK1 1LF,United Kingdom of Great Britain and Northern Ireland,https://home.shortcutssoftware.com/thecolourroom?app_mode=true&container_type=_h&source=google_reserve&rwg_token=AFd1xnFzYEx2xIrcpsy726Lt2yBCXtVlJsY4gqj8K0ydaCtpL2nTCgOQ5-d0pvBXcZoD0H0A1E1Jp1U-WOvKd967MBkvbvCVGQ%3D%3D#/book-now?redirect=sites/6239/details,ChIJw85o_n6ze0gR7fQDgPYpTWM
Planet Hair,Hairdresser,+44 161 456 9500,http://planethairstockport.co.uk/,"341 Buxton Rd, Stockport SK2 7NL",341 Buxton Rd,Stockport,,SK2 7NL,United Kingdom of Great Britain and Northern Ireland,,ChIJv_b2Fp-0e0gRvsn5Kjvd0pA
Libbys Hairdressing,Hairdresser,+44 161 480 0250,,"1 & 3 High St, Stockport SK1 1EG",1 & 3 High St,Stockport,,SK1 1EG,United Kingdom of Great Britain and Northern Ireland,,ChIJiVRXc36ze0gRz6d9ieEdK30
TRIM & CUT UNISEX Hair Salon,Hairdresser,+44 7366 976538,https://widget.treatwell.co.uk/place/510192/menu/,"77 Princes St, Stockport SK1 1RW",77 Princes St,Stockport,,SK1 1RW,United Kingdom of Great Britain and Northern Ireland,,ChIJZQOE_Mqxe0gR7_BR9FyMpqU
Leslie & Lisa Hair Lounge,Hairdresser,+44 161 477 8862,,"69 Great Underbank, Stockport SK1 1PE",69 Great Underbank,Stockport,,SK1 1PE,United Kingdom of Great Britain and Northern Ireland,,ChIJF-6Et36ze0gRryWKzSy51I8
Hair Candy,Hairdresser,+44 161 483 5197,http://www.haircandycheshire.co.uk/,"369 Buxton Rd, Stockport SK2 7EY",369 Buxton Rd,Stockport,,SK2 7EY,United Kingdom of Great Britain and Northern Ireland,https://www.treatwell.co.uk/place/hair-candy-2/?utm_source=google&utm_medium=rwg&rwg_token=AFd1xnH4H_5WpItyI7ohBRJZ75hgnyHszEVDu32_Iwx9Bw5Z-rMDssEWQupVV_zkqJFvCmrbKhaVn-jCSbGLlQRPgtmQJgS9uNd2XjnfRCsGuA3xgiGzsCo%3D,ChIJZ8eDCey1e0gR-e4DOAzhftk
Bell Hair ltd,Hairdresser,+44 161 376 3840,http://www.bell-hair.co.uk/,"511 Hempshaw Ln, Stockport SK2 5TP",511 Hempshaw Ln,Stockport,,SK2 5TP,United Kingdom of Great Britain and Northern Ireland,,ChIJvc9Jd7y0e0gRtQAtHvqh1ho
Cherysh Hair,Hairdresser,+44 161 480 3080,http://www.cheryshhair.co.uk/,"22 Princes St, Stockport SK1 1SE",22 Princes St,Stockport,,SK1 1SE,United Kingdom of Great Britain and Northern Ireland,,ChIJ5a4LKnmze0gRrhgyqHTFtqg
Majestic hair salon,Beauty Salon,+44 161 900 8667,https://turkish.co.uk/services/health-beauty-fitness/hairdressing/majestic-hair-salon-stockport-30772.html,"16 Bridge St, Stockport SK1 1XR",16 Bridge St,Stockport,,SK1 1XR,United Kingdom of Great Britain and Northern Ireland,https://widget.treatwell.co.uk/place/420203/menu/,ChIJ017hBH-ze0gRLjSI8F7pEB4
Hair And Beauty Lounge Stockport,Hairdresser,+44 161 477 1989,http://www.hairandbeautyloungestockport.co.uk/,"28-30 Castle St, Edgeley, Stockport SK3 9AD",28-30 Castle St,Stockport,Edgeley,SK3 9AD,United Kingdom of Great Britain and Northern Ireland,,ChIJmVVJQmWze0gRkfxANbPIOuc
Prestige hair,Hairdresser,+44 161 443 2362,https://prestigehairdressers.co.uk/,"80 Gorton Rd, Reddish, Stockport SK5 6AH",80 Gorton Rd,Stockport,Reddish,SK5 6AH,United Kingdom of Great Britain and Northern Ireland,https://www.vagaro.com/googlemap/U2FsdGVkX19fl7kngkxirVukfVGwG9~AEia3YdeBoD4=/services?rwg_token=AFd1xnHvj2jVEFhI65-pnfKe6FkGts95125chpfeNC1qpATeiY0V4EdWtBHaEnbsy4YcP78VJecDQQ6s32cULm_2UfqW8v9v2yNt2RIUpIfWiIOMpm2ttso%3D,ChIJQXCdNTmze0gRPmKD4Yg4aw0
Blossom Hair & Beauty,Hairdresser,+44 161 474 0736,https://www.facebook.com/BlossomHairAndBeautyStockport/,"68-70 Lower Hillgate, Stockport SK1 3AL",68-70 Lower Hillgate,Stockport,,SK1 3AL,United Kingdom of Great Britain and Northern Ireland,,ChIJveUYDvKze0gR2REkawM70eU
#Hair,Hairdresser,+44 161 503 9036,,"24 Little Underbank, Stockport SK1 1JT",24 Little Underbank,Stockport,,SK1 1JT,United Kingdom of Great Britain and Northern Ireland,,ChIJ0XJ862Cze0gRVpjpxZjFrlQ
Scribble Hairdressing,Hairdresser,+44 161 477 4799,,"54 Churchgate, Stockport SK1 1YG",54 Churchgate,Stockport,,SK1 1YG,United Kingdom of Great Britain and Northern Ireland,,ChIJtYbT_IG0e0gRWYJxpRUvlyo
Hair to Dye For,Hairdresser,+44 161 477 6340,,"58 Castle St, Edgeley, Stockport SK3 9AD",58 Castle St,Stockport,Edgeley,SK3 9AD,United Kingdom of Great Britain and Northern Ireland,,ChIJAeIkaGWze0gRriAAuv_e8i8
